"TimeStamp","Host","Uptime","HashRate"
"2018-05-14 17:30:11","m01","548.48","4730.8"
"2018-05-14 18:00:11","m01","548.98","4732.1"
"2018-05-14 18:30:11","m01","549.48","4730"
"2018-05-14 19:00:11","m01","549.98","4727.9"
"2018-05-14 19:30:11","m01","550.48","4730.5"
"2018-05-14 20:00:13","m01","550.98","4718.3"
"2018-05-14 20:30:11","m01","551.48","4725.3"
"2018-05-14 21:00:11","m01","551.98","4730.3"
"2018-05-14 21:30:11","m01","552.48","4730.6"
"2018-05-14 22:00:11","m01","552.98","4736.1"
"2018-05-14 22:30:11","m01","553.48","4730.8"
"2018-05-14 23:00:11","m01","553.98","4730.4"
"2018-05-14 23:30:11","m01","554.48","4729.8"
"2018-05-15 00:00:11","m01","554.98","4728.6"
"2018-05-15 00:30:11","m01","555.48","4723.4"
"2018-05-15 01:00:11","m01","555.98","4732"
"2018-05-15 01:30:11","m01","556.48","4726.8"
"2018-05-15 02:00:11","m01","556.98","4673.6"
"2018-05-15 02:30:11","m01","557.48","4730.4"
"2018-05-15 03:00:11","m01","557.98","4730.4"
"2018-05-15 03:30:11","m01","558.48","4719.8"
"2018-05-15 04:00:11","m01","558.98","4731"
"2018-05-15 04:30:11","m01","559.48","4678.6"
"2018-05-15 05:00:09","m01","559.98","4730.4"
"2018-05-15 05:30:11","m01","560.48","4729.4"
"2018-05-15 06:00:11","m01","560.98","4733.7"
"2018-05-15 06:30:11","m01","561.48","4725.6"
"2018-05-15 07:00:11","m01","561.98","4689.5"
"2018-05-15 07:30:11","m01","562.48","4729"
"2018-05-15 08:00:11","m01","562.98","4725.6"
"2018-05-15 08:30:11","m01","563.48","4734.4"
"2018-05-15 09:00:11","m01","563.98","4725.6"
"2018-05-15 09:30:11","m01","564.48","4723.8"
"2018-05-15 10:00:11","m01","564.98","4725.3"
"2018-05-15 10:30:09","m01","565.48","4729.5"
"2018-05-15 11:00:12","m01","565.98","4715.9"
"2018-05-15 11:30:11","m01","566.48","4735.1"
"2018-05-15 12:00:12","m01","566.98","4725.2"
"2018-05-15 12:30:11","m01","567.48","4730.4"
"2018-05-15 13:00:11","m01","567.98","4724.8"
"2018-05-15 13:30:11","m01","568.48","4730.7"
"2018-05-15 14:00:11","m01","568.98","4728.7"
"2018-05-15 14:30:11","m01","569.48","4729.9"
"2018-05-15 15:00:11","m01","569.98","4730"
"2018-05-15 15:30:11","m01","570.48","4730.3"
"2018-05-15 16:00:11","m01","570.98","4732.8"
"2018-05-15 16:30:12","m01","571.48","4726.8"
"2018-05-15 17:00:11","m01","571.98","4734.6"
"2018-05-15 17:30:11","m01","572.48","4730.6"
"2018-05-15 18:00:11","m01","572.98","4728.3"
"2018-05-15 18:30:11","m01","573.48","4729.6"
"2018-05-15 19:00:12","m01","573.98","4732.3"
"2018-05-15 19:30:11","m01","574.48","4732.7"
"2018-05-15 20:00:13","m01","574.98","4735.8"
"2018-05-15 20:30:11","m01","575.48","4729.6"
"2018-05-15 21:00:11","m01","575.98","4731.7"
"2018-05-15 21:30:11","m01","576.48","4734.5"
"2018-05-15 22:00:11","m01","576.98","4733.5"
"2018-05-15 22:30:11","m01","577.48","4735.1"
"2018-05-15 23:00:11","m01","577.98","4731.3"
"2018-05-15 23:30:11","m01","578.48","4733.3"
"2018-05-16 00:00:11","m01","578.98","4729.3"
"2018-05-16 00:30:11","m01","579.48","4735.2"
"2018-05-16 01:00:11","m01","579.98","4677.8"
"2018-05-16 01:30:11","m01","580.48","4730.9"
"2018-05-16 02:00:11","m01","580.98","4731"
"2018-05-16 02:30:11","m01","581.48","4678.7"
"2018-05-16 03:00:11","m01","581.98","4730.1"
"2018-05-16 03:30:11","m01","582.48","4721.7"
"2018-05-16 04:00:11","m01","582.98","4731.2"
"2018-05-16 04:30:11","m01","583.48","4730.9"
"2018-05-16 05:00:11","m01","583.98","4727.9"
"2018-05-16 05:30:11","m01","584.48","4720.5"
"2018-05-16 06:00:11","m01","584.98","4731.1"
"2018-05-16 06:30:11","m01","585.48","4730.6"
"2018-05-16 07:00:11","m01","585.98","4714.8"
"2018-05-16 07:30:12","m01","586.48","4719.5"
"2018-05-16 08:00:11","m01","586.98","4731.5"
"2018-05-16 08:30:11","m01","587.48","4731.8"
"2018-05-16 09:00:11","m01","587.98","4732.2"
"2018-05-16 09:30:11","m01","588.48","4730.6"
"2018-05-16 10:00:11","m01","588.98","4726.2"
"2018-05-16 10:30:11","m01","589.48","4734"
"2018-05-16 11:00:11","m01","589.98","4727.1"
"2018-05-16 11:30:11","m01","590.48","4732.2"
"2018-05-16 12:00:12","m01","590.98","4725.1"
"2018-05-16 12:30:11","m01","591.48","4725.2"
"2018-05-16 13:00:11","m01","591.98","4698"
"2018-05-16 13:30:11","m01","592.48","4729.4"
"2018-05-16 14:00:11","m01","592.98","4735.4"
"2018-05-16 14:30:11","m01","593.48","4735.6"
"2018-05-16 15:00:11","m01","593.98","4728.8"
"2018-05-16 15:30:11","m01","594.48","4735.9"
"2018-05-16 16:00:12","m01","594.98","4695.8"
"2018-05-16 16:30:12","m01","595.48","4735.4"
"2018-05-16 17:00:12","m01","595.98","4734.6"
"2018-05-16 17:30:11","m01","596.48","4729.8"
"2018-05-16 18:00:11","m01","596.98","4730.8"
"2018-05-16 18:30:09","m01","597.48","4722.8"
"2018-05-16 19:00:11","m01","597.98","4724.3"
"2018-05-16 19:30:11","m01","598.48","4676.2"
"2018-05-16 20:00:11","m01","598.98","4731.4"
"2018-05-16 20:30:11","m01","599.48","4731.6"
"2018-05-16 21:00:11","m01","599.98","4733.5"
"2018-05-16 21:30:10","m01","600.48","4677.7"
"2018-05-16 22:00:09","m01","600.98","4727.9"
"2018-05-16 22:30:11","m01","601.48","4734.5"
"2018-05-16 23:00:11","m01","601.98","4734.4"
"2018-05-16 23:30:11","m01","602.48","4729.9"
"2018-05-17 00:00:09","m01","602.98","4707.7"
"2018-05-17 00:30:11","m01","603.48","4724.4"
"2018-05-17 01:00:13","m01","603.98","4737.2"
"2018-05-17 01:30:11","m01","604.48","4731.2"
"2018-05-17 02:00:11","m01","604.98","4725.1"
"2018-05-17 02:30:11","m01","605.48","4731.6"
"2018-05-17 03:00:11","m01","605.98","4703.1"
"2018-05-17 03:30:11","m01","606.48","4729.9"
"2018-05-17 04:00:11","m01","606.98","4724.5"
"2018-05-17 04:30:10","m01","607.48","4719.7"
"2018-05-17 05:00:11","m01","607.98","4719.9"
"2018-05-17 05:30:11","m01","608.48","4723.2"
"2018-05-17 06:00:11","m01","608.98","4731"
"2018-05-17 06:30:12","m01","609.48","4731.9"
"2018-05-17 07:00:11","m01","609.98","4723"
"2018-05-17 07:30:10","m01","610.48","4717.4"
"2018-05-17 08:00:11","m01","610.98","4735.7"
"2018-05-17 08:30:11","m01","611.48","4731.2"
"2018-05-17 09:00:11","m01","611.98","4730"
"2018-05-17 09:30:11","m01","612.48","4724.1"
"2018-05-17 10:00:11","m01","612.98","4734.2"
"2018-05-17 10:30:11","m01","613.48","4724.9"
"2018-05-17 11:00:11","m01","613.98","4735.6"
"2018-05-17 11:30:11","m01","614.48","4730.2"
"2018-05-17 12:00:11","m01","614.98","4720.4"
"2018-05-17 12:30:11","m01","615.48","4696.2"
"2018-05-17 13:00:11","m01","615.98","4734.2"
"2018-05-17 13:30:09","m01","616.48","4725.7"
"2018-05-17 14:00:13","m01","616.98","4736.9"
