"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","Fan_1","Fan_2"
"2018-07-06 21:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 22:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 22:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 23:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-06 23:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 00:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 00:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 01:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 01:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 02:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 02:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 03:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 03:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 04:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 04:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 05:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 05:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 06:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 06:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 07:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 07:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 08:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 08:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 09:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 09:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 10:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 10:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 11:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 11:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 12:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 12:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 13:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 13:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 14:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 14:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 15:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 15:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
